"","date","n_correos"
"1",2009-01-19,3
"2",2009-01-20,3
"3",2009-01-21,1
"4",2009-01-22,0
"5",2009-01-23,0
"6",2009-01-24,0
"7",2009-01-25,2
"8",2009-01-26,0
"9",2009-01-27,2
"10",2009-01-28,2
"11",2009-01-29,0
"12",2009-01-30,0
"13",2009-01-31,0
"14",2009-02-01,0
"15",2009-02-02,1
"16",2009-02-03,6
"17",2009-02-04,3
"18",2009-02-05,2
"19",2009-02-06,0
"20",2009-02-07,0
"21",2009-02-08,0
"22",2009-02-09,10
"23",2009-02-10,0
"24",2009-02-11,11
"25",2009-02-12,7
"26",2009-02-13,3
"27",2009-02-14,2
"28",2009-02-15,0
"29",2009-02-16,5
"30",2009-02-17,7
"31",2009-02-18,11
"32",2009-02-19,2
"33",2009-02-20,0
"34",2009-02-21,0
"35",2009-02-22,0
"36",2009-02-23,3
"37",2009-02-24,7
"38",2009-02-25,1
"39",2009-02-26,0
"40",2009-02-27,0
"41",2009-02-28,1
"42",2009-03-01,0
"43",2009-03-02,4
"44",2009-03-03,3
"45",2009-03-04,1
"46",2009-03-05,0
"47",2009-03-06,7
"48",2009-03-07,2
"49",2009-03-08,4
"50",2009-03-09,0
"51",2009-03-10,2
"52",2009-03-11,6
"53",2009-03-12,1
"54",2009-03-13,2
"55",2009-03-14,0
"56",2009-03-15,0
"57",2009-03-16,3
"58",2009-03-17,1
"59",2009-03-18,6
"60",2009-03-19,9
"61",2009-03-20,5
"62",2009-03-21,1
"63",2009-03-22,3
"64",2009-03-23,3
"65",2009-03-24,3
"66",2009-03-25,4
"67",2009-03-26,5
"68",2009-03-27,2
"69",2009-03-28,3
"70",2009-03-29,6
"71",2009-03-30,3
"72",2009-03-31,4
"73",2009-04-01,0
"74",2009-04-02,1
"75",2009-04-03,1
"76",2009-04-04,3
"77",2009-04-05,4
"78",2009-04-06,1
"79",2009-04-07,3
"80",2009-04-08,4
"81",2009-04-09,0
"82",2009-04-10,0
"83",2009-04-11,0
"84",2009-04-12,0
"85",2009-04-13,0
"86",2009-04-14,1
"87",2009-04-15,8
"88",2009-04-16,8
"89",2009-04-17,7
"90",2009-04-18,19
"91",2009-04-19,4
"92",2009-04-20,2
"93",2009-04-21,6
"94",2009-04-22,22
"95",2009-04-23,11
"96",2009-04-24,1
"97",2009-04-25,4
"98",2009-04-26,6
"99",2009-04-27,1
"100",2009-04-28,3
"101",2009-04-29,0
"102",2009-04-30,0
"103",2009-05-01,0
"104",2009-05-02,0
"105",2009-05-03,1
"106",2009-05-04,0
"107",2009-05-05,2
"108",2009-05-06,7
"109",2009-05-07,5
"110",2009-05-08,9
"111",2009-05-09,0
"112",2009-05-10,0
"113",2009-05-11,0
"114",2009-05-12,1
"115",2009-05-13,5
"116",2009-05-14,4
"117",2009-05-15,0
"118",2009-05-16,0
"119",2009-05-17,0
"120",2009-05-18,0
"121",2009-05-19,0
"122",2009-05-20,3
"123",2009-05-21,2
"124",2009-05-22,0
"125",2009-05-23,0
"126",2009-05-24,0
"127",2009-05-25,0
"128",2009-05-26,1
"129",2009-05-27,0
"130",2009-05-28,0
"131",2009-05-29,0
"132",2009-05-30,0
"133",2009-05-31,0
"134",2009-06-01,3
"135",2009-06-02,0
"136",2009-06-03,1
"137",2009-06-04,2
"138",2009-06-05,1
"139",2009-06-06,0
"140",2009-06-07,3
"141",2009-06-08,1
"142",2009-06-09,0
"143",2009-06-10,0
"144",2009-06-11,1
"145",2009-06-12,0
"146",2009-06-13,1
"147",2009-06-14,0
"148",2009-06-15,0
"149",2009-06-16,0
"150",2009-06-17,2
"151",2009-06-18,0
"152",2009-06-19,1
"153",2009-06-20,1
"154",2009-06-21,0
"155",2009-06-22,3
"156",2009-06-23,2
"157",2009-06-24,0
"158",2009-06-25,1
"159",2009-06-26,0
"160",2009-06-27,0
"161",2009-06-28,2
"162",2009-06-29,1
"163",2009-06-30,0
"164",2009-07-01,5
"165",2009-07-02,7
"166",2009-07-03,1
"167",2009-07-04,0
"168",2009-07-05,0
"169",2009-07-06,0
"170",2009-07-07,0
"171",2009-07-08,0
"172",2009-07-09,0
"173",2009-07-10,0
"174",2009-07-11,0
"175",2009-07-12,1
"176",2009-07-13,0
"177",2009-07-14,2
"178",2009-07-15,4
"179",2009-07-16,5
"180",2009-07-17,0
"181",2009-07-18,2
"182",2009-07-19,1
"183",2009-07-20,1
"184",2009-07-21,0
"185",2009-07-22,0
"186",2009-07-23,0
"187",2009-07-24,0
"188",2009-07-25,0
"189",2009-07-26,0
"190",2009-07-27,1
"191",2009-07-28,2
"192",2009-07-29,8
"193",2009-07-30,6
"194",2009-07-31,0
"195",2009-08-01,0
"196",2009-08-02,4
"197",2009-08-03,0
"198",2009-08-04,2
"199",2009-08-05,2
"200",2009-08-06,2
"201",2009-08-07,1
"202",2009-08-08,2
"203",2009-08-09,0
"204",2009-08-10,0
"205",2009-08-11,0
"206",2009-08-12,0
"207",2009-08-13,0
"208",2009-08-14,0
"209",2009-08-15,0
"210",2009-08-16,0
"211",2009-08-17,0
"212",2009-08-18,0
"213",2009-08-19,0
"214",2009-08-20,0
"215",2009-08-21,0
"216",2009-08-22,0
"217",2009-08-23,0
"218",2009-08-24,0
"219",2009-08-25,0
"220",2009-08-26,5
"221",2009-08-27,0
"222",2009-08-28,1
"223",2009-08-29,0
"224",2009-08-30,0
"225",2009-08-31,0
"226",2009-09-01,1
"227",2009-09-02,3
"228",2009-09-03,6
"229",2009-09-04,0
"230",2009-09-05,0
"231",2009-09-06,0
"232",2009-09-07,0
"233",2009-09-08,0
"234",2009-09-09,1
"235",2009-09-10,11
"236",2009-09-11,1
"237",2009-09-12,0
"238",2009-09-13,0
"239",2009-09-14,0
"240",2009-09-15,2
"241",2009-09-16,3
"242",2009-09-17,3
"243",2009-09-18,0
"244",2009-09-19,0
"245",2009-09-20,0
"246",2009-09-21,0
"247",2009-09-22,0
"248",2009-09-23,1
"249",2009-09-24,0
"250",2009-09-25,0
"251",2009-09-26,0
"252",2009-09-27,0
"253",2009-09-28,0
"254",2009-09-29,2
"255",2009-09-30,0
"256",2009-10-01,0
"257",2009-10-02,1
"258",2009-10-03,1
"259",2009-10-04,1
"260",2009-10-05,4
"261",2009-10-06,1
"262",2009-10-07,1
"263",2009-10-08,1
"264",2009-10-09,1
"265",2009-10-10,0
"266",2009-10-11,0
"267",2009-10-12,0
"268",2009-10-13,0
"269",2009-10-14,0
"270",2009-10-15,1
"271",2009-10-16,0
"272",2009-10-17,0
"273",2009-10-18,1
"274",2009-10-19,0
"275",2009-10-20,2
"276",2009-10-21,7
"277",2009-10-22,1
"278",2009-10-23,2
